	RCC4-EV	RCC4-VHL
ACBD7	35.9799735258805	27.3184469162726
ACCS	299.755328791575	117.64822905816
ACCSL	0	0
ACD	370.583015992573	352.033373799716
ACE	0.502092103725532	1.07784412741721
ACE2	0	38.3558006886239
ACE3P	0	0
ACER1	0	0.961938723571914
ACER2	13.5181782018573	8.9363447006446
ACER3	279.503326599463	193.305605126739
ACHE	0.699455838536146	1.95948648008218
ACIN1	1632.92722656838	1551.70443411313
ACKR1	0	0
ACKR2	3.45396204923807	4.38828516926472
ACKR3	151.024891866652	176.331667923444
ACKR4	0	0
ACLY	2368.14345552157	1881.49065063674
ACMSD	2.24738622425537	52.9200474170974
ACNATP	0	0
ACO1	470.030765302365	475.990244538371
ACO2	859.097670514171	1019.09390496209
ACOD1	0	0
ACOT1	63.3289675447904	41.6662607625575
ACOT11	5.07763942195055	15.3836541598619
ACOT12	0	0
ACOT13	803.423054933814	598.394877373543
ACOT2	389.809929587921	279.515359351775
ACOT4	0.553705253657879	0.558667852951545
ACOT6	0	0
ACOT7	831.866773725174	878.799130302756
ACOT8	291.631314566968	177.093103620824
ACOT9	693.314260454406	320.233384492693
ACOX1	133.700239022781	118.509716431733
ACOX2	0	8.16417490675109
ACOX3	215.374732321925	56.4497571219502
ACOXL	0	0
ACOXL-AS1	0	0
ACP1	1710.36122291862	1469.87539028712
ACP2	213.697430646192	265.7917408306
ACP4	0	0
ACP5	57.4488587025541	19.2376515783633
ACP6	202.329097743802	254.323062892838
ACP7	0	0
ACPP	0	0
ACR	0	0
ACRBP	1.5877086732467	0
ACRV1	0	2.0089318395551
ACSBG1	0.601682857622716	4.07115351995861
ACSBG2	0	0
ACSF2	364.600763779058	82.1525321920429
ACSF3	238.62430017828	253.03950094766
ACSL1	221.630501355464	278.017439021785
ACSL3	727.752085659697	924.67709654051
ACSL4	1350.52994736475	1192.62686657252
ACSL5	79.5144955441817	51.1435544440715
ACSL6	1.18837875713469	1.64604705546342
ACSM1	15.0151335919895	23.7287290442074
ACSM2A	4.33533055222292	239.051393527102
ACSM2B	7.41019024429587	235.252893671427
ACSM3	680.280750808845	2289.79940958632
ACSM4	0	2.27842617755993
ACSM5	111.81724969	280.111330093321
ACSM5P1	0	0
ACSM6	0	0
ACSS1	25.5003188944316	119.423275592649
ACSS2	366.887541530631	471.725192126069
ACSS3	0	1.06035364036732
ACTA1	0	0
ACTA2	476.940584525866	272.135173164335
ACTA2-AS1	1.06457681413474	10.4204667682729
ACTB	115298.774785695	121805.794795675
ACTBL2	45.7783887246518	141.835783632073
ACTBP1	0	0
ACTBP11	0	0
ACTBP12	0	0
ACTBP13	0.320082749224504	0.60120456520019
ACTBP14	1.32382218243486	0
ACTBP2	0	0
ACTBP6	0	0
ACTBP7	0	0
ACTBP8	0	0
ACTBP9	0	0
ACTC1	0	0
ACTG1	76927.4790328929	42714.7500288866
ACTG1P1	3.80515965730152	0
ACTG1P10	0	0
ACTG1P12	0	0
